"SoftPlot +Plus+ Measurement Management Software"
"Start", 9.541400000000000E+0008
"Stop", 9.741400000000000E+0008
"Points",2001
"Point","X-Axis (Hz)","West of Telstar 11N (dBm)","Telstar 11N (dBm)","East of Telstar 11N (dBm)","Signal Generator at 11504.02GHz into LNBF (dBm)"
244,964506000.000000000000,-100.315999999992,-91.932000000030,-89.988999999943,-87.010000000009
245,964508000.000000000000,-100.506999999983,-92.030000000028,-89.138000000035,-86.913999999990
246,964510000.000000000000,-100.535999999964,-92.003999999957,-89.133000000031,-86.891999999993
247,964512000.000000000000,-100.648000000045,-91.886000000057,-88.979000000050,-87.020999999950
248,964514000.000000000000,-100.462999999989,-91.917999999947,-89.187999999966,-87.086000000010
249,964516000.000000000000,-100.530000000028,-91.827000000048,-89.471000000020,-87.209999999963
250,964518000.000000000000,-100.778000000049,-92.011000000057,-90.187000000034,-87.261000000057
251,964520000.000000000000,-100.673999999999,-92.057000000030,-89.028999999980,-87.295999999973
252,964522000.000000000000,-100.641999999993,-92.077000000048,-90.542000000016,-87.280000000028
253,964524000.000000000000,-100.792999999947,-92.082999999984,-89.216000000015,-87.138000000035
254,964526000.000000000000,-100.756000000052,-92.153000000049,-89.766999999993,-87.005000000005
255,964528000.000000000000,-100.863999999943,-92.197000000044,-89.106000000029,-87.045000000042
256,964530000.000000000000,-101.020999999950,-92.275999999954,-89.238999999943,-87.015000000014
257,964532000.000000000000,-101.091000000015,-92.537000000011,-89.248999999953,-87.077000000048
258,964534000.000000000000,-101.167000000016,-92.851000000024,-90.111999999965,-87.005000000005
259,964536000.000000000000,-101.229000000050,-93.069000000018,-89.381000000052,-86.974000000046
260,964538000.000000000000,-101.324999999953,-93.332999999984,-89.462000000058,-87.192999999970
261,964540000.000000000000,-101.474999999977,-93.805999999982,-89.655999999959,-87.096000000020
262,964542000.000000000000,-101.467999999993,-94.231000000029,-90.423999999999,-87.070999999996
263,964544000.000000000000,-101.554000000004,-94.814999999944,-89.179000000004,-87.189999999944
264,964546000.000000000000,-101.437000000034,-95.314000000013,-89.194999999949,-87.076000000001
265,964548000.000000000000,-101.444999999949,-95.837999999989,-89.018000000040,-87.143000000040
266,964550000.000000000000,-101.560999999987,-96.381999999983,-88.650999999954,-87.347999999998
267,964552000.000000000000,-101.582999999984,-96.922999999952,-88.770999999950,-87.579000000027
268,964554000.000000000000,-101.562999999966,-97.763999999966,-90.165000000037,-87.405999999959
269,964556000.000000000000,-101.592999999993,-98.413999999990,-89.278999999980,-87.466000000015
270,964558000.000000000000,-101.467999999993,-98.694999999949,-89.439000000013,-87.320999999996
271,964560000.000000000000,-101.662000000011,-99.353000000003,-89.554000000004,-87.280999999959
272,964562000.000000000000,-101.763999999966,-99.847999999998,-89.945999999996,-87.219999999972
