"SoftPlot +Plus+ Measurement Management Software"
"Start", 9.640200000000000E+0008
"Stop", 9.680200000000000E+0008
"Points",2001
"Point","X-Axis (Hz)","West of Telstar 11N (dBm)","Telstar 11N (dBm)","East of Telstar 11N (dBm)","Signal Generator at 11504.02MHz into LNBF (dBm)"
37,964092000.000000000000,-100.111000000034,-100.866999999969,-90.113000000012,-87.074000000022
38,964094000.000000000000,-99.908999999985,-100.961000000010,-90.131000000052,-86.910000000033
39,964096000.000000000000,-99.913999999990,-100.712000000058,-90.150999999954,-86.945999999996
40,964098000.000000000000,-100.087000000058,-100.753000000026,-90.040999999968,-86.829999999958
41,964100000.000000000000,-100.216000000015,-100.805000000051,-90.081000000006,-86.829999999958
42,964102000.000000000000,-99.957999999984,-100.704999999958,-89.888999999966,-87.042999999947
43,964104000.000000000000,-99.954999999958,-100.680999999982,-89.864999999991,-87.202000000048
44,964106000.000000000000,-99.922000000020,-100.728000000003,-89.837000000058,-87.113000000012
45,964108000.000000000000,-99.689000000013,-100.697999999975,-89.798999999999,-87.236999999965
46,964110000.000000000000,-99.741999999969,-100.716000000015,-89.707000000053,-86.988999999943
47,964112000.000000000000,-99.984999999986,-100.699999999953,-89.692000000039,-87.045999999973
48,964114000.000000000000,-100.113000000012,-100.717999999993,-89.586000000010,-87.101999999955
49,964116000.000000000000,-100.346000000020,-100.951000000001,-89.648999999976,-86.967999999993
50,964118000.000000000000,-100.241000000038,-100.744999999995,-89.770000000019,-87.057999999961
51,964120000.000000000000,-100.221999999951,-100.714000000036,-89.966000000015,-87.000000000000
52,964122000.000000000000,-100.354000000050,-100.761999999988,-89.979000000050,-87.030999999959
53,964124000.000000000000,-100.410000000033,-100.804000000004,-90.157000000007,-87.025999999954
54,964126000.000000000000,-100.297000000020,-100.817000000039,-90.118000000017,-87.060999999987
55,964128000.000000000000,-100.236000000034,-100.883000000031,-90.028000000049,-87.008000000031
56,964130000.000000000000,-100.386999999988,-100.866999999969,-90.040999999968,-87.148999999976
57,964132000.000000000000,-100.111999999965,-100.755000000005,-90.030999999959,-87.037000000011
58,964134000.000000000000,-100.050999999978,-100.655999999959,-90.042000000016,-86.822999999975
59,964136000.000000000000,-100.167000000016,-100.625000000000,-89.739999999991,-86.782000000007
60,964138000.000000000000,-100.229999999981,-100.712999999989,-89.381000000052,-86.905000000028
61,964140000.000000000000,-100.153000000049,-100.783999999985,-89.353000000003,-87.011000000057
62,964142000.000000000000,-100.003000000026,-100.699999999953,-89.552000000025,-86.895999999950
63,964144000.000000000000,-100.003000000026,-100.363999999943,-89.837000000058,-86.829999999958
64,964146000.000000000000,-100.020999999950,-100.442000000039,-89.903999999980,-86.868999999948
65,964148000.000000000000,-99.949999999953,-100.104000000050,-90.089999999967,-86.957000000053
66,964150000.000000000000,-99.712000000058,-99.885000000009,-90.270000000019,-86.893000000040
67,964152000.000000000000,-99.707000000053,-99.719000000041,-90.302000000025,-86.922000000020
68,964154000.000000000000,-99.851999999955,-99.001000000047,-90.361000000034,-87.074000000022
69,964156000.000000000000,-99.763999999966,-98.744999999995,-90.305000000051,-87.000000000000
70,964158000.000000000000,-99.988999999943,-98.059000000008,-90.341000000015,-86.964999999967
71,964160000.000000000000,-99.942000000039,-97.665000000037,-90.255000000005,-86.935000000056
72,964162000.000000000000,-99.952000000048,-97.084000000032,-90.175000000047,-86.800000000047
73,964164000.000000000000,-100.023999999976,-96.614999999991,-89.859999999986,-86.761000000057
74,964166000.000000000000,-100.094999999972,-95.834000000032,-89.706000000006,-87.062000000034
75,964168000.000000000000,-99.942999999970,-95.527000000002,-89.839000000036,-87.015999999945
