"SoftPlot +Plus+ Measurement Management Software"
"Start", 9.640200000000000E+0008
"Stop", 9.680200000000000E+0008
"Points",2001
"Point","X-Axis (Hz)","West of Telstar 11N (dBm)","Telstar 11N (dBm)","East of Telstar 11N (dBm)","Signal Generator at 11504.02MHz into LNBF (dBm)"
481,964980000.000000000000,-99.986999999965,-100.834000000032,-89.937999999966,-87.224999999977
482,964982000.000000000000,-99.996999999974,-100.944000000018,-89.905000000028,-87.018000000040
483,964984000.000000000000,-100.020999999950,-100.837999999989,-90.109000000055,-87.082000000053
484,964986000.000000000000,-99.888999999966,-100.761999999988,-89.951000000001,-87.155000000028
485,964988000.000000000000,-100.108000000007,-100.807000000030,-90.037999999942,-87.145000000019
486,964990000.000000000000,-99.831000000006,-100.827000000048,-89.996999999974,-87.229000000050
487,964992000.000000000000,-99.766999999993,-100.881000000052,-90.138000000035,-87.271999999997
488,964994000.000000000000,-99.750000000000,-100.778999999980,-90.236999999965,-87.054000000004
489,964996000.000000000000,-99.435000000056,-100.819000000018,-90.231000000029,-86.974999999977
490,964998000.000000000000,-99.527000000002,-100.908000000054,-90.035999999964,-86.915999999968
491,965000000.000000000000,-99.535999999964,-100.812000000034,-89.988999999943,-87.025999999954
492,965002000.000000000000,-99.484000000055,-100.780999999959,-90.001999999979,-87.106000000029
493,965004000.000000000000,-99.717999999993,-100.761000000057,-90.101999999955,-87.287000000011
494,965006000.000000000000,-99.805000000051,-100.854999999981,-90.116999999969,-87.162999999942
495,965008000.000000000000,-99.905000000028,-100.875000000000,-89.974000000046,-87.160999999964
496,965010000.000000000000,-99.841000000015,-100.861000000034,-90.076000000001,-87.064000000013
497,965012000.000000000000,-99.655999999959,-100.788999999990,-90.143000000040,-86.883000000031
498,965014000.000000000000,-99.908000000054,-100.866999999969,-89.976000000024,-86.900000000023
499,965016000.000000000000,-100.133000000031,-101.057999999961,-89.866000000038,-87.025999999954
500,965018000.000000000000,-100.206000000006,-100.827999999980,-89.930999999982,-86.798999999999
501,965020000.000000000000,-100.167999999947,-100.707999999984,-90.219999999972,-86.859999999986
502,965022000.000000000000,-100.425999999978,-100.798999999999,-90.410999999964,-86.854000000050
503,965024000.000000000000,-100.435000000056,-100.841999999946,-90.300999999978,-86.831000000006
504,965026000.000000000000,-100.391999999993,-100.854999999981,-90.089999999967,-86.782000000007
505,965028000.000000000000,-100.128999999957,-100.908000000054,-90.378999999957,-87.018000000040
506,965030000.000000000000,-100.152000000002,-100.707999999984,-90.246000000043,-87.180999999982
507,965032000.000000000000,-100.243999999948,-100.714999999967,-90.226999999955,-87.001999999979
508,965034000.000000000000,-100.042999999947,-100.814999999944,-90.035000000033,-86.976999999955
509,965036000.000000000000,-100.045999999973,-100.875000000000,-89.994999999995,-87.096999999951
510,965038000.000000000000,-100.246999999974,-100.800000000047,-90.045999999973,-87.042000000016
511,965040000.000000000000,-100.327999999980,-100.787999999942,-90.018000000040,-86.896999999997
512,965042000.000000000000,-100.295000000042,-100.653000000049,-90.035000000033,-86.935999999987
513,965044000.000000000000,-99.979000000050,-100.645000000019,-90.106999999960,-86.903999999980
514,965046000.000000000000,-99.903999999980,-100.657000000007,-90.094000000041,-87.013999999966
515,965048000.000000000000,-99.881000000052,-100.618000000017,-90.209999999963,-87.091999999946
516,965050000.000000000000,-99.802000000025,-100.667000000016,-90.050999999978,-87.173999999999
517,965052000.000000000000,-99.608000000007,-100.741000000038,-90.003000000026,-87.130000000005
518,965054000.000000000000,-99.545999999973,-100.908000000054,-89.863999999943,-87.045000000042
519,965056000.000000000000,-99.625000000000,-100.873999999953,-89.846000000020,-86.957999999984
520,965058000.000000000000,-99.601999999955,-100.880000000005,-90.109999999986,-86.856999999960
521,965060000.000000000000,-99.706000000006,-100.925000000047,-90.074999999953,-86.942999999970
522,965062000.000000000000,-99.969000000041,-100.890000000014,-90.101999999955,-87.006999999983
523,965064000.000000000000,-99.807999999961,-100.853000000003,-89.792000000016,-87.251999999979
524,965066000.000000000000,-99.869999999995,-100.842999999993,-89.697999999975,-87.197000000044
525,965068000.000000000000,-100.033999999985,-100.851999999955,-89.643000000040,-87.148999999976
526,965070000.000000000000,-99.974000000046,-100.704000000027,-89.701000000001,-87.228000000003
527,965072000.000000000000,-100.027000000002,-100.758000000031,-89.822000000044,-87.295000000042
528,965074000.000000000000,-100.072999999975,-100.961000000010,-89.837000000058,-87.390999999945
529,965076000.000000000000,-100.126999999979,-100.917000000016,-89.944000000018,-87.314999999944
530,965078000.000000000000,-100.244999999995,-100.847999999998,-89.893000000040,-87.163999999990
531,965080000.000000000000,-100.251000000047,-100.770999999950,-89.993000000017,-87.106000000029
532,965082000.000000000000,-99.912999999942,-100.572999999975,-90.131999999983,-86.981000000029
533,965084000.000000000000,-99.947000000044,-100.625000000000,-90.035000000033,-86.905999999959
534,965086000.000000000000,-99.790000000037,-100.623000000021,-90.032000000007,-86.971000000020
535,965088000.000000000000,-99.908999999985,-100.513000000035,-90.216999999946,-87.018000000040
536,965090000.000000000000,-100.109000000055,-100.616999999969,-90.077999999980,-86.881999999983
537,965092000.000000000000,-100.133999999962,-100.418999999994,-90.069000000018,-86.898999999976
538,965094000.000000000000,-100.128999999957,-100.314000000013,-89.929000000004,-86.800999999978
539,965096000.000000000000,-99.961000000010,-100.319000000018,-89.679000000004,-87.143000000040
540,965098000.000000000000,-99.587999999989,-100.341000000015,-89.672000000020,-87.280000000028
541,965100000.000000000000,-99.535000000033,-100.060999999987,-89.662999999942,-87.256000000052
542,965102000.000000000000,-99.592999999993,-100.118999999948,-89.765000000014,-87.224999999977
543,965104000.000000000000,-99.577000000048,-100.239999999991,-89.979000000050,-87.069000000018
544,965106000.000000000000,-99.542999999947,-99.930000000051,-89.945999999996,-87.121999999974
545,965108000.000000000000,-99.915999999968,-99.886000000057,-90.059000000008,-87.162000000011
546,965110000.000000000000,-100.065999999992,-99.922000000020,-90.074000000022,-87.069999999949
547,965112000.000000000000,-99.940999999992,-99.807999999961,-90.238000000012,-86.969000000041
548,965114000.000000000000,-99.881999999983,-99.753000000026,-90.251999999979,-86.957000000053
549,965116000.000000000000,-99.978000000003,-99.785999999964,-90.224999999977,-86.903999999980
550,965118000.000000000000,-99.944000000018,-99.653000000049,-90.064000000013,-86.834999999963
551,965120000.000000000000,-99.922000000020,-99.653000000049,-90.116000000038,-86.824999999953
552,965122000.000000000000,-100.035999999964,-99.646999999997,-90.023000000045,-87.037000000011
553,965124000.000000000000,-100.064000000013,-99.521999999997,-90.079000000027,-87.207999999984
554,965126000.000000000000,-99.918999999994,-99.474999999977,-89.939000000013,-87.283999999985
555,965128000.000000000000,-99.832000000053,-99.248999999953,-89.893000000040,-87.290999999968
556,965130000.000000000000,-99.979000000050,-99.234000000055,-89.886000000057,-87.273999999976
557,965132000.000000000000,-100.047999999952,-99.202999999980,-89.925000000047,-87.295999999973
558,965134000.000000000000,-99.729000000050,-99.010000000009,-89.768000000040,-87.231000000029
559,965136000.000000000000,-99.758999999962,-99.028000000049,-89.748999999953,-87.285999999964
560,965138000.000000000000,-99.552999999956,-98.983000000007,-89.863000000012,-87.376999999979
561,965140000.000000000000,-99.699000000022,-98.962000000058,-89.635000000009,-87.143999999971
562,965142000.000000000000,-99.712999999989,-98.795999999973,-89.738000000012,-87.028999999980
563,965144000.000000000000,-99.439999999944,-98.920999999973,-89.783999999985,-86.969999999972
564,965146000.000000000000,-99.707000000053,-98.964000000036,-89.868000000017,-86.930000000051
565,965148000.000000000000,-99.635000000009,-98.949999999953,-89.991000000038,-86.893999999971
566,965150000.000000000000,-99.780000000028,-98.851999999955,-90.065999999992,-86.871999999974
567,965152000.000000000000,-99.792000000016,-98.809000000008,-90.182000000030,-86.829000000027
568,965154000.000000000000,-99.925999999978,-98.834999999963,-90.243000000017,-86.819999999949
569,965156000.000000000000,-99.883999999962,-98.824000000022,-90.155999999959,-86.966999999946
570,965158000.000000000000,-99.770000000019,-98.466000000015,-90.089000000036,-87.015999999945
571,965160000.000000000000,-99.788999999990,-98.518999999971,-89.814000000013,-86.947000000044
572,965162000.000000000000,-99.986999999965,-98.527000000002,-89.844000000041,-87.001000000047
573,965164000.000000000000,-100.050000000047,-98.538999999990,-89.937000000034,-86.964000000036
574,965166000.000000000000,-100.084000000032,-98.300000000047,-89.974000000046,-87.018000000040
575,965168000.000000000000,-100.011000000057,-98.510000000009,-90.030999999959,-87.013999999966
576,965170000.000000000000,-100.040000000037,-98.402000000002,-90.011000000057,-87.079999999958
577,965172000.000000000000,-99.888000000035,-98.444999999949,-89.934000000008,-87.062999999966
578,965174000.000000000000,-99.788999999990,-98.324000000022,-89.883999999962,-87.081000000006
579,965176000.000000000000,-99.822000000044,-98.270999999950,-89.908000000054,-87.023000000045
580,965178000.000000000000,-99.721000000020,-98.209000000032,-89.964000000036,-86.993999999948
581,965180000.000000000000,-99.734000000055,-98.162999999942,-89.991000000038,-86.898999999976
582,965182000.000000000000,-99.790999999968,-98.363000000012,-90.091000000015,-87.003999999957
583,965184000.000000000000,-99.957999999984,-98.359000000055,-90.020999999950,-87.000000000000
584,965186000.000000000000,-100.069999999949,-98.280000000028,-89.978000000003,-86.951000000001
585,965188000.000000000000,-99.974999999977,-98.319999999949,-89.883000000031,-87.052999999956
586,965190000.000000000000,-99.947999999975,-98.483000000007,-89.885000000009,-86.841000000015
587,965192000.000000000000,-99.820999999996,-98.310999999987,-89.819000000018,-86.836000000010
588,965194000.000000000000,-99.832000000053,-98.314999999944,-89.748999999953,-86.768000000040
589,965196000.000000000000,-100.194999999949,-98.542000000016,-89.738000000012,-86.753999999957
590,965198000.000000000000,-99.964000000036,-98.324999999953,-89.648999999976,-86.707000000053
591,965200000.000000000000,-99.959000000032,-98.314999999944,-89.748999999953,-86.783000000054
592,965202000.000000000000,-99.996000000043,-98.432000000030,-89.844000000041,-87.057999999961
593,965204000.000000000000,-99.988999999943,-98.435999999987,-89.866000000038,-87.015999999945
594,965206000.000000000000,-99.988000000012,-98.339999999967,-89.680000000051,-87.000000000000
595,965208000.000000000000,-99.978000000003,-98.280000000028,-89.550999999978,-87.160000000033
596,965210000.000000000000,-99.925999999978,-98.408999999985,-89.594000000041,-87.003000000026
597,965212000.000000000000,-100.116000000038,-98.302000000025,-89.542999999947,-86.956000000006
598,965214000.000000000000,-99.988999999943,-98.244999999995,-89.650999999954,-86.851999999955
599,965216000.000000000000,-100.003999999957,-98.432999999961,-89.866000000038,-86.863999999943
600,965218000.000000000000,-100.025000000023,-98.353000000003,-89.861000000034,-87.072000000044
601,965220000.000000000000,-99.947999999975,-98.234000000055,-89.935999999987,-87.040999999968
602,965222000.000000000000,-99.917000000016,-98.229000000050,-90.018999999971,-86.913999999990
603,965224000.000000000000,-100.025000000023,-98.197999999975,-90.003000000026,-86.988000000012
604,965226000.000000000000,-99.878999999957,-98.307000000030,-89.991000000038,-86.969999999972
605,965228000.000000000000,-99.599000000046,-98.400999999954,-89.861999999965,-87.167999999947
606,965230000.000000000000,-99.780999999959,-98.358000000007,-89.863999999943,-87.140999999945
607,965232000.000000000000,-99.775999999954,-98.087000000058,-89.888000000035,-87.138999999966
608,965234000.000000000000,-99.993000000017,-98.158000000054,-89.859000000055,-87.253999999957
609,965236000.000000000000,-99.920000000042,-98.180999999982,-89.871000000043,-87.400000000023
610,965238000.000000000000,-99.851000000024,-98.346000000020,-89.918999999994,-87.413999999990
611,965240000.000000000000,-99.628999999957,-98.290999999968,-89.853000000003,-87.403999999980
612,965242000.000000000000,-99.503999999957,-98.239999999991,-89.724000000046,-87.398999999976
613,965244000.000000000000,-99.498999999953,-98.292999999947,-89.650999999954,-87.297999999952
614,965246000.000000000000,-99.554000000004,-98.251000000047,-89.722999999998,-86.962999999989
615,965248000.000000000000,-99.670999999973,-98.341000000015,-89.515000000014,-86.903000000049
616,965250000.000000000000,-99.734999999986,-98.283999999985,-89.488999999943,-86.966000000015
617,965252000.000000000000,-99.721999999951,-98.116999999969,-89.594999999972,-86.891999999993
618,965254000.000000000000,-99.937000000034,-98.244999999995,-89.766999999993,-87.104000000050
619,965256000.000000000000,-99.925999999978,-98.229999999981,-89.820999999996,-87.047999999952
620,965258000.000000000000,-99.721999999951,-98.170000000042,-89.729999999981,-87.209000000032
621,965260000.000000000000,-99.668999999994,-98.305999999982,-89.756999999983,-87.513000000035
622,965262000.000000000000,-99.910000000033,-98.263999999966,-89.680000000051,-87.329000000027
623,965264000.000000000000,-99.908000000054,-98.153999999980,-89.824999999953,-87.253999999957
624,965266000.000000000000,-99.927000000025,-97.944999999949,-89.716000000015,-87.248000000021
625,965268000.000000000000,-99.881000000052,-98.015999999945,-89.625000000000,-87.226000000024
626,965270000.000000000000,-99.988000000012,-98.028000000049,-89.513000000035,-87.190999999992
627,965272000.000000000000,-99.942999999970,-98.023999999976,-89.672999999952,-87.283999999985
628,965274000.000000000000,-99.900999999954,-98.047999999952,-89.824000000022,-87.344999999972
629,965276000.000000000000,-99.910999999964,-98.244999999995,-89.604000000050,-87.400999999954
630,965278000.000000000000,-99.837999999989,-98.121000000043,-89.584000000032,-87.297000000020
631,965280000.000000000000,-99.947999999975,-98.136999999988,-89.523000000045,-87.234999999986
632,965282000.000000000000,-100.121999999974,-98.185999999987,-89.626999999979,-87.234000000055
633,965284000.000000000000,-100.054000000004,-98.173999999999,-89.822999999975,-87.018000000040
634,965286000.000000000000,-100.035000000033,-98.077000000048,-89.790000000037,-86.983000000007
635,965288000.000000000000,-99.873000000021,-98.148000000045,-89.810000000056,-86.966999999946
636,965290000.000000000000,-100.033999999985,-98.148000000045,-89.756000000052,-86.983000000007
637,965292000.000000000000,-100.140000000014,-98.388999999966,-89.608000000007,-86.932999999961
638,965294000.000000000000,-100.113000000012,-98.118999999948,-89.741000000038,-87.067000000039
639,965296000.000000000000,-99.839999999967,-98.072000000044,-89.864999999991,-87.131999999983
640,965298000.000000000000,-99.763999999966,-98.072000000044,-89.927999999956,-86.984999999986
641,965300000.000000000000,-99.842999999993,-98.126000000047,-89.932000000030,-86.929000000004
642,965302000.000000000000,-99.766999999993,-98.278999999980,-90.013000000035,-87.040999999968
643,965304000.000000000000,-99.717999999993,-98.153000000049,-89.900999999954,-87.236000000034
644,965306000.000000000000,-99.949000000022,-98.081000000006,-90.010000000009,-87.091000000015
645,965308000.000000000000,-99.670999999973,-98.170999999973,-89.827999999980,-86.920999999973
646,965310000.000000000000,-99.680999999982,-98.141999999993,-89.765000000014,-86.974000000046
647,965312000.000000000000,-99.802000000025,-98.246999999974,-89.729000000050,-86.952000000048
648,965314000.000000000000,-99.927999999956,-98.282000000007,-89.858000000007,-86.917999999947
649,965316000.000000000000,-99.756999999983,-98.125000000000,-89.971000000020,-86.875000000000
650,965318000.000000000000,-99.658000000054,-98.138000000035,-90.023999999976,-86.984000000055
651,965320000.000000000000,-99.751000000047,-98.101999999955,-89.905000000028,-86.967999999993
652,965322000.000000000000,-100.006999999983,-98.143000000040,-89.812999999966,-87.204000000027
653,965324000.000000000000,-100.020000000019,-98.192999999970,-89.863000000012,-87.194999999949
654,965326000.000000000000,-100.197000000044,-98.226000000024,-89.998999999953,-87.153999999980
655,965328000.000000000000,-100.116000000038,-98.481999999960,-90.028000000049,-87.103000000003
656,965330000.000000000000,-100.074000000022,-98.310000000056,-90.038999999990,-87.089999999967
657,965332000.000000000000,-99.908999999985,-98.260000000009,-90.010000000009,-87.028999999980
658,965334000.000000000000,-99.873000000021,-98.363000000012,-89.967999999993,-87.150999999954
659,965336000.000000000000,-100.086000000010,-98.109000000055,-89.989999999991,-87.179000000004
660,965338000.000000000000,-99.849999999977,-98.182999999961,-89.984999999986,-87.103000000003
661,965340000.000000000000,-99.957999999984,-98.096999999951,-89.858000000007,-87.212000000058
662,965342000.000000000000,-99.947000000044,-98.001000000047,-89.849000000046,-87.375000000000
663,965344000.000000000000,-99.925000000047,-98.067000000039,-89.829000000027,-87.292999999947
664,965346000.000000000000,-100.114999999991,-98.146999999997,-89.731999999960,-87.216000000015
665,965348000.000000000000,-100.087999999989,-98.207000000053,-89.672000000020,-87.109000000055
666,965350000.000000000000,-99.785000000033,-98.172999999952,-89.795000000042,-87.135000000009
667,965352000.000000000000,-99.714999999967,-98.114999999991,-89.957999999984,-87.300999999978
668,965354000.000000000000,-99.804000000004,-98.261999999988,-89.940999999992,-87.077999999980
669,965356000.000000000000,-99.616999999969,-98.268999999971,-89.967999999993,-87.008000000031
670,965358000.000000000000,-99.584000000032,-98.138000000035,-90.079999999958,-87.246999999974
671,965360000.000000000000,-100.035000000033,-98.260000000009,-90.216999999946,-87.472999999998
672,965362000.000000000000,-100.131999999983,-98.290000000037,-90.214000000036,-87.621000000043
673,965364000.000000000000,-100.135000000009,-98.229999999981,-90.229000000050,-87.270999999950
674,965366000.000000000000,-100.158999999985,-98.145000000019,-90.258000000031,-87.219000000041
675,965368000.000000000000,-100.092999999993,-98.295000000042,-90.324999999953,-87.273999999976
676,965370000.000000000000,-99.920999999973,-98.170999999973,-90.354000000050,-87.219999999972
677,965372000.000000000000,-100.116999999969,-98.170999999973,-90.366999999969,-87.003999999957
678,965374000.000000000000,-100.106999999960,-98.119999999995,-90.305000000051,-87.016999999993
679,965376000.000000000000,-100.030000000028,-98.207999999984,-90.027000000002,-87.087999999989
680,965378000.000000000000,-100.138999999966,-98.206000000006,-90.077000000048,-87.101999999955
681,965380000.000000000000,-100.167000000016,-98.160999999964,-90.265000000014,-87.185999999987
682,965382000.000000000000,-100.222999999998,-98.182000000030,-90.214000000036,-87.130000000005
683,965384000.000000000000,-100.199999999953,-98.111999999965,-90.013000000035,-87.087000000058
684,965386000.000000000000,-100.195999999996,-98.060000000056,-89.981000000029,-87.113000000012
685,965388000.000000000000,-100.194999999949,-97.957000000053,-89.912000000011,-87.070999999996
686,965390000.000000000000,-100.351000000024,-97.966000000015,-89.922999999952,-86.891999999993
687,965392000.000000000000,-100.297999999952,-98.030999999959,-90.202999999980,-86.804000000004
688,965394000.000000000000,-100.320999999996,-98.266999999993,-90.035999999964,-86.837999999989
689,965396000.000000000000,-100.145000000019,-98.032000000007,-89.856000000029,-87.072000000044
690,965398000.000000000000,-100.331000000006,-97.913999999990,-89.922999999952,-87.048999999999
691,965400000.000000000000,-100.189999999944,-97.861999999965,-89.917000000016,-87.021999999997
692,965402000.000000000000,-100.091999999946,-98.165999999968,-90.027000000002,-87.062999999966
693,965404000.000000000000,-100.148999999976,-98.180000000051,-90.069999999949,-87.150000000023
694,965406000.000000000000,-100.403000000049,-98.192000000039,-89.898000000045,-87.114999999991
695,965408000.000000000000,-100.537000000011,-98.092999999993,-89.976999999955,-87.069000000018
696,965410000.000000000000,-100.579000000027,-98.057000000030,-89.959999999963,-87.011999999988
697,965412000.000000000000,-100.442999999970,-98.069000000018,-89.993999999948,-87.047999999952
698,965414000.000000000000,-100.596000000020,-98.104000000050,-90.076000000001,-86.937000000034
699,965416000.000000000000,-100.707000000053,-98.062000000034,-90.172000000020,-86.756999999983
700,965418000.000000000000,-100.625000000000,-98.383000000031,-90.233000000007,-86.653000000049
701,965420000.000000000000,-100.609000000055,-98.366000000038,-90.116999999969,-86.805000000051
702,965422000.000000000000,-100.810999999987,-98.354000000050,-89.981000000029,-86.660000000033
703,965424000.000000000000,-100.743999999948,-98.334999999963,-90.042999999947,-86.902000000002
704,965426000.000000000000,-100.837999999989,-98.304000000004,-90.091000000015,-86.951000000001
705,965428000.000000000000,-100.947000000044,-98.386000000057,-89.876000000047,-86.937999999966
706,965430000.000000000000,-100.775000000023,-98.278000000049,-89.834999999963,-87.005000000005
707,965432000.000000000000,-100.863999999943,-98.248999999953,-89.842999999993,-87.111999999965
708,965434000.000000000000,-101.158000000054,-98.052999999956,-89.898999999976,-87.266999999993
709,965436000.000000000000,-101.246999999974,-98.065999999992,-90.047000000020,-87.057000000030
710,965438000.000000000000,-101.158000000054,-97.878999999957,-89.956000000006,-87.013999999966
711,965440000.000000000000,-101.158000000054,-97.908999999985,-90.018000000040,-87.064000000013
712,965442000.000000000000,-101.081000000006,-98.275000000023,-90.025999999954,-86.944000000018
713,965444000.000000000000,-101.182000000030,-98.290999999968,-90.141999999993,-86.881000000052
714,965446000.000000000000,-101.420999999973,-98.423999999999,-90.152000000002,-86.937000000034
715,965448000.000000000000,-101.368999999948,-98.439999999944,-90.097999999998,-86.969000000041
716,965450000.000000000000,-101.329999999958,-98.363000000012,-90.123000000021,-87.045000000042
717,965452000.000000000000,-101.248000000021,-98.275000000023,-90.238000000012,-87.332999999984
718,965454000.000000000000,-101.543999999994,-98.287000000011,-90.172000000020,-87.371000000043
719,965456000.000000000000,-101.481000000029,-98.047000000020,-90.206000000006,-87.471999999951
720,965458000.000000000000,-101.488000000012,-97.957000000053,-90.187000000034,-87.275000000023
721,965460000.000000000000,-101.628999999957,-97.908999999985,-90.094000000041,-87.131999999983
722,965462000.000000000000,-101.530000000028,-97.908000000054,-89.989999999991,-87.162000000011
723,965464000.000000000000,-101.538999999990,-97.827000000048,-89.993999999948,-87.136999999988
724,965466000.000000000000,-101.555000000051,-97.883000000031,-90.185000000056,-87.334000000032
725,965468000.000000000000,-101.726000000024,-97.998999999953,-90.214999999967,-87.222999999998
726,965470000.000000000000,-101.839000000036,-98.337999999989,-90.062000000034,-87.197999999975
727,965472000.000000000000,-101.746999999974,-98.251000000047,-90.040000000037,-87.042000000016
728,965474000.000000000000,-101.920999999973,-98.331000000006,-89.869999999995,-87.145000000019
729,965476000.000000000000,-101.831000000006,-98.332999999984,-89.954000000027,-87.155000000028
730,965478000.000000000000,-101.890999999945,-98.395000000019,-90.062000000034,-87.180999999982
731,965480000.000000000000,-101.863000000012,-98.322000000044,-90.052000000025,-87.140999999945
732,965482000.000000000000,-101.881999999983,-98.248000000021,-90.099000000046,-87.207000000053
733,965484000.000000000000,-101.903000000049,-98.287999999942,-90.212000000058,-87.180999999982
734,965486000.000000000000,-101.996999999974,-98.150999999954,-90.099999999977,-87.204000000027
735,965488000.000000000000,-102.128000000026,-98.121999999974,-90.199999999953,-87.162999999942
736,965490000.000000000000,-102.020999999950,-98.015999999945,-90.094999999972,-87.160999999964
737,965492000.000000000000,-101.981999999960,-98.162000000011,-90.060999999987,-87.202000000048
738,965494000.000000000000,-101.910999999964,-98.238999999943,-89.974999999977,-87.221000000020
739,965496000.000000000000,-101.881999999983,-98.317999999970,-90.013999999966,-87.028000000049
740,965498000.000000000000,-101.758999999962,-98.275999999954,-89.954999999958,-86.988999999943
741,965500000.000000000000,-101.768999999971,-98.185000000056,-89.952000000048,-86.979000000050
742,965502000.000000000000,-101.959999999963,-98.207000000053,-89.954000000027,-87.305000000051
743,965504000.000000000000,-101.945999999996,-98.300999999978,-89.984000000055,-87.285999999964
744,965506000.000000000000,-101.967999999993,-98.113999999943,-90.040000000037,-87.250000000000
745,965508000.000000000000,-101.962999999989,-98.008000000031,-90.006999999983,-87.172000000020
746,965510000.000000000000,-101.991000000038,-98.118999999948,-89.957000000053,-87.221000000020
747,965512000.000000000000,-102.079999999958,-98.011000000057,-89.849999999977,-87.229000000050
748,965514000.000000000000,-102.060999999987,-98.037000000011,-89.817000000039,-87.162000000011
749,965516000.000000000000,-101.981999999960,-98.042000000016,-89.868000000017,-87.202000000048
750,965518000.000000000000,-102.060000000056,-98.204000000027,-89.851000000024,-87.011999999988
751,965520000.000000000000,-102.033999999985,-98.361000000034,-89.856000000029,-86.952999999980
752,965522000.000000000000,-101.922000000020,-98.287999999942,-89.967999999993,-87.030999999959
753,965524000.000000000000,-102.028999999980,-98.271999999997,-90.076000000001,-87.128000000026
754,965526000.000000000000,-102.043999999994,-98.190999999992,-89.969999999972,-87.096000000020
755,965528000.000000000000,-102.096999999951,-97.967999999993,-89.991999999969,-87.025000000023
756,965530000.000000000000,-102.069000000018,-97.981999999960,-89.925999999978,-87.030000000028
757,965532000.000000000000,-102.084999999963,-97.993999999948,-89.662999999942,-87.020999999950
758,965534000.000000000000,-102.008000000031,-98.133000000031,-89.822999999975,-86.820999999996
759,965536000.000000000000,-101.878000000026,-98.064999999944,-89.957000000053,-86.981000000029
760,965538000.000000000000,-102.040000000037,-98.212999999989,-89.974000000046,-87.006000000052
761,965540000.000000000000,-102.023999999976,-98.221999999951,-89.939999999944,-87.084000000032
762,965542000.000000000000,-101.895000000019,-98.158999999985,-90.008000000031,-87.096999999951
763,965544000.000000000000,-101.903000000049,-98.189999999944,-89.944000000018,-87.084999999963
764,965546000.000000000000,-101.739999999991,-98.233000000007,-89.927000000025,-87.030999999959
765,965548000.000000000000,-101.680000000051,-98.271999999997,-90.217999999993,-87.136000000057
766,965550000.000000000000,-101.513999999966,-98.228000000003,-90.150000000023,-86.978000000003
767,965552000.000000000000,-101.633000000031,-98.027000000002,-90.332000000053,-87.030000000028
768,965554000.000000000000,-101.410999999964,-98.064999999944,-90.300000000047,-87.148999999976
769,965556000.000000000000,-101.295999999973,-98.076000000001,-90.363000000012,-86.994999999995
770,965558000.000000000000,-101.106999999960,-98.111999999965,-90.260000000009,-86.728000000003
771,965560000.000000000000,-100.998000000021,-98.246000000043,-90.265999999945,-86.660000000033
772,965562000.000000000000,-100.778000000049,-98.393000000040,-90.248000000021,-86.780000000028
773,965564000.000000000000,-100.611000000034,-98.246000000043,-90.221000000020,-86.908000000054
774,965566000.000000000000,-100.376000000047,-98.238999999943,-90.204000000027,-86.827999999980
775,965568000.000000000000,-99.908999999985,-98.251999999979,-90.087999999989,-86.822999999975
776,965570000.000000000000,-99.721000000020,-98.366000000038,-90.228000000003,-86.702999999980
777,965572000.000000000000,-99.516999999993,-98.469999999972,-90.184000000008,-86.702999999980
778,965574000.000000000000,-99.319999999949,-98.226000000024,-90.322000000044,-86.817000000039
779,965576000.000000000000,-98.932999999961,-98.349000000046,-90.287000000011,-86.738000000012
780,965578000.000000000000,-98.523000000045,-98.354000000050,-90.287000000011,-86.704999999958
781,965580000.000000000000,-98.109999999986,-98.288999999990,-90.265000000014,-86.719000000041
782,965582000.000000000000,-97.638000000035,-98.212999999989,-90.275000000023,-86.768999999971
783,965584000.000000000000,-97.503999999957,-98.275000000023,-90.412999999942,-86.665999999968
784,965586000.000000000000,-97.373000000021,-98.160000000033,-90.229999999981,-86.609999999986
785,965588000.000000000000,-96.957000000053,-98.418999999994,-90.268000000040,-86.496999999974
786,965590000.000000000000,-96.809000000008,-98.417000000016,-90.246999999974,-86.591999999946
787,965592000.000000000000,-96.371000000043,-98.412000000011,-90.221999999951,-86.729000000050
788,965594000.000000000000,-96.074000000022,-98.351999999955,-90.194999999949,-86.854000000050
789,965596000.000000000000,-95.770000000019,-98.356999999960,-90.263999999966,-86.917000000016
790,965598000.000000000000,-95.587000000058,-98.324000000022,-90.079000000027,-86.949999999953
791,965600000.000000000000,-95.353000000003,-98.398999999976,-90.087000000058,-86.863000000012
792,965602000.000000000000,-95.185999999987,-98.278999999980,-90.177000000025,-86.670000000042
793,965604000.000000000000,-94.927000000025,-98.356000000029,-90.256999999983,-86.711000000010
794,965606000.000000000000,-94.552999999956,-98.287999999942,-90.373999999953,-86.942999999970
795,965608000.000000000000,-94.349999999977,-98.292999999947,-90.123000000021,-87.028999999980
796,965610000.000000000000,-94.336000000010,-98.287000000011,-90.045000000042,-86.900999999954
797,965612000.000000000000,-94.209000000032,-98.369999999995,-90.359999999986,-86.863000000012
798,965614000.000000000000,-94.055999999982,-98.327999999980,-90.407000000007,-86.859000000055
799,965616000.000000000000,-93.966999999946,-98.388999999966,-90.212999999989,-86.903999999980
800,965618000.000000000000,-93.898999999976,-98.179000000004,-90.173999999999,-86.851000000024
801,965620000.000000000000,-93.773999999976,-98.265000000014,-90.097999999998,-86.993999999948
802,965622000.000000000000,-93.675000000047,-98.256999999983,-90.222999999998,-86.883999999962
