"BlockSat v2 European Region"
"Start", 1.080300000000000E+0009
"Stop", 1.088300000000000E+0009
"Points",601
"Point","X-Axis (Hz)","West of Telstar 11N (wrong sat) (dBm)","Telstar 11N (dBm)"
152,1082313333.333984380000,-81.217999999993,-76.890000000014
153,1082326666.666015620000,-79.597999999998,-75.971000000020
154,1082340000.000000000000,-80.729999999981,-77.138000000035
155,1082353333.333984380000,-79.579999999958,-76.050999999978
156,1082366666.666015620000,-80.383000000031,-76.780000000028
157,1082380000.000000000000,-79.690999999992,-76.195999999996
158,1082393333.333984380000,-80.523000000045,-76.849999999977
159,1082406666.666015620000,-79.604000000050,-76.060000000056
160,1082420000.000000000000,-80.592999999993,-76.981000000029
161,1082433333.333984380000,-79.604000000050,-76.099999999977
162,1082446666.666015620000,-81.045999999973,-77.361000000034
163,1082460000.000000000000,-79.658000000054,-76.523000000045
164,1082473333.333984380000,-80.643000000040,-77.729999999981
165,1082486666.666015620000,-79.623000000021,-76.638000000035
166,1082500000.000000000000,-80.797999999952,-77.420000000042
167,1082513333.333984380000,-79.734000000055,-76.520000000019
168,1082526666.666015620000,-80.663999999990,-78.138000000035
169,1082540000.000000000000,-79.734000000055,-77.050999999978
170,1082553333.333984380000,-80.792000000016,-78.067999999970
171,1082566666.666015620000,-79.820999999996,-77.229000000050
172,1082580000.000000000000,-81.118999999948,-78.503000000026
173,1082593333.333984380000,-79.454999999958,-77.635000000009
174,1082606666.666015620000,-80.820999999996,-78.488000000012
175,1082620000.000000000000,-79.694000000018,-77.435999999987
176,1082633333.333984380000,-81.157000000007,-78.687000000034
177,1082646666.666015620000,-79.886000000057,-78.013000000035
178,1082660000.000000000000,-81.216000000015,-79.366999999969
179,1082673333.333984380000,-79.947999999975,-78.160000000033
180,1082686666.666015620000,-81.564000000013,-79.417000000016
181,1082700000.000000000000,-80.523999999976,-78.383000000031
182,1082713333.333984380000,-82.131999999983,-79.459999999963
183,1082726666.666015630000,-81.030999999959,-78.608000000007
184,1082740000.000000000000,-82.658999999985,-79.750000000000
185,1082753333.333984380000,-81.277000000002,-78.846999999951
186,1082766666.666015630000,-82.233000000007,-79.979999999981
187,1082780000.000000000000,-81.248000000021,-79.094999999972
188,1082793333.333984380000,-81.956000000006,-80.239999999991
189,1082806666.666015630000,-80.677000000025,-79.106999999960
190,1082820000.000000000000,-80.925000000047,-80.660000000033
191,1082833333.333984380000,-79.429000000004,-79.699000000022
192,1082846666.666015630000,-79.782000000007,-81.307999999961
193,1082860000.000000000000,-77.376000000047,-80.221000000020
194,1082873333.333984380000,-77.983000000007,-81.133000000031
195,1082886666.666015630000,-76.202000000048,-80.212000000058
196,1082900000.000000000000,-76.481000000029,-81.778000000049
197,1082913333.333984380000,-75.226000000024,-80.672000000020
198,1082926666.666015620000,-75.978000000003,-82.256999999983
199,1082940000.000000000000,-74.653000000049,-81.042000000016
200,1082953333.333984370000,-75.231000000029,-82.445999999996
201,1082966666.666015620000,-73.842999999993,-81.641999999993
202,1082980000.000000000000,-74.285000000033,-83.038999999990
203,1082993333.333984370000,-73.363999999943,-81.993000000017
204,1083006666.666015620000,-74.153999999980,-83.265999999945
205,1083020000.000000000000,-73.081000000006,-82.268000000040
206,1083033333.333984370000,-73.847999999998,-83.236999999965
207,1083046666.666015620000,-72.456000000006,-82.439000000013
208,1083060000.000000000000,-73.123000000021,-83.410999999964
209,1083073333.333984370000,-72.280000000028,-82.819999999949
210,1083086666.666015620000,-73.135000000009,-83.738999999943
211,1083100000.000000000000,-72.378999999957,-82.908999999985
212,1083113333.333984370000,-73.402000000002,-83.790000000037
213,1083126666.666015620000,-72.180999999982,-82.922000000020
214,1083140000.000000000000,-73.280000000028,-84.069000000018
215,1083153333.333984380000,-71.922000000020,-83.128999999957
216,1083166666.666015620000,-72.956000000006,-84.157000000007
217,1083180000.000000000000,-71.635000000009,-83.074999999953
218,1083193333.333984380000,-73.261999999988,-83.959000000032
219,1083206666.666015620000,-72.386000000057,-83.050999999978
220,1083220000.000000000000,-72.940999999992,-84.136000000057
221,1083233333.333984380000,-72.175000000047,-83.015000000014
222,1083246666.666015620000,-73.228000000003,-84.062999999966
223,1083260000.000000000000,-72.342999999993,-83.109000000055
224,1083273333.333984380000,-73.221000000020,-84.109999999986
225,1083286666.666015620000,-72.013999999966,-82.890999999945
226,1083300000.000000000000,-73.467999999993,-83.974000000046
227,1083313333.333984380000,-72.304000000004,-82.881000000052
228,1083326666.666015620000,-73.104000000050,-83.974999999977
229,1083340000.000000000000,-72.280000000028,-83.125000000000
230,1083353333.333984380000,-73.332999999984,-84.013000000035
231,1083366666.666015620000,-72.109999999986,-83.265999999945
232,1083380000.000000000000,-73.123000000021,-83.837999999989
233,1083393333.333984380000,-72.125000000000,-83.054000000004
234,1083406666.666015620000,-72.939999999944,-84.057999999961
235,1083420000.000000000000,-72.165000000037,-83.052999999956
236,1083433333.333984380000,-73.037000000011,-84.027000000002
237,1083446666.666015620000,-72.162000000011,-83.013000000035
238,1083460000.000000000000,-73.192999999970,-83.251000000047
239,1083473333.333984380000,-72.199999999953,-82.964000000036
240,1083486666.666015620000,-73.290999999968,-83.739999999991
241,1083500000.000000000000,-71.951000000001,-82.783999999985
