"BlockSat Plots"
"Start", 1.065520000000000E+0009
"Stop", 1.066520000000000E+0009
"Points",601
"Point","X-Axis (Hz)","Satellite - west of Telstar 11N (dBm)","Telstar 11N (dBm)"
490,1066335000.000000000000,-74.959999999963,-77.033000000054
491,1066336666.666992188000,-75.052999999956,-76.528000000049
492,1066338333.333007812000,-75.123000000021,-76.528000000049
493,1066340000.000000000000,-74.993999999948,-76.380000000005
494,1066341666.666992188000,-74.984999999986,-77.670999999973
495,1066343333.333007812000,-75.028000000049,-76.369999999995
496,1066345000.000000000000,-75.606999999960,-77.006999999983
497,1066346666.666992188000,-74.814000000013,-76.440999999992
498,1066348333.333007812000,-74.763999999966,-76.376000000047
499,1066350000.000000000000,-74.807999999961,-76.675999999978
500,1066351666.666992187000,-74.893999999971,-76.658000000054
501,1066353333.333007812000,-74.802000000025,-76.707999999984
502,1066355000.000000000000,-74.832999999984,-76.675999999978
503,1066356666.666992188000,-75.018000000040,-77.373000000021
504,1066358333.333007812000,-75.386999999988,-77.386999999988
505,1066360000.000000000000,-74.560999999987,-76.719000000041
506,1066361666.666992188000,-74.722999999998,-76.687999999966
507,1066363333.333007812000,-74.785999999964,-76.594000000041
508,1066365000.000000000000,-75.194999999949,-76.978000000003
509,1066366666.666992187000,-74.961000000010,-76.435000000056
510,1066368333.333007812000,-75.248000000021,-76.427000000025
511,1066370000.000000000000,-75.347999999998,-76.792999999947
512,1066371666.666992188000,-75.689000000013,-76.623000000021
513,1066373333.333007813000,-75.104000000050,-76.891999999993
514,1066375000.000000000000,-74.979000000050,-77.202999999980
515,1066376666.666992188000,-74.714000000036,-76.636000000057
516,1066378333.333007812000,-74.900999999954,-76.979999999981
517,1066380000.000000000000,-75.212000000058,-77.187999999966
518,1066381666.666992187000,-75.603000000003,-77.283000000054
519,1066383333.333007812000,-75.163999999990,-77.753999999957
520,1066385000.000000000000,-75.560000000056,-77.734999999986
521,1066386666.666992188000,-75.783000000054,-77.706000000006
522,1066388333.333007813000,-75.721000000020,-78.167000000016
523,1066390000.000000000000,-75.685999999987,-77.734000000055
524,1066391666.666992188000,-76.528000000049,-77.682000000030
525,1066393333.333007812000,-75.699999999953,-77.687999999966
526,1066395000.000000000000,-76.599000000046,-77.491000000038
527,1066396666.666992188000,-76.552999999956,-78.687000000034
528,1066398333.333007812000,-76.523999999976,-78.395999999950
529,1066400000.000000000000,-76.540999999968,-78.268000000040
530,1066401666.666992188000,-76.635000000009,-78.386999999988
531,1066403333.333007813000,-76.932000000030,-77.974999999977
532,1066405000.000000000000,-77.371000000043,-78.652000000002
533,1066406666.666992188000,-77.459000000032,-77.969000000041
534,1066408333.333007812000,-77.493000000017,-79.256999999983
535,1066410000.000000000000,-77.876999999979,-77.962000000058
536,1066411666.666992188000,-77.998999999953,-78.170999999973
537,1066413333.333007812000,-78.270000000019,-77.971999999951
538,1066415000.000000000000,-78.413999999990,-78.351999999955
539,1066416666.666992188000,-78.527000000002,-77.773999999976
540,1066418333.333007812000,-78.780000000028,-77.646999999997
541,1066420000.000000000000,-79.442000000039,-77.520000000019
542,1066421666.666992188000,-79.479999999981,-79.324000000022
543,1066423333.333007812000,-79.690999999992,-78.025999999954
544,1066425000.000000000000,-79.812000000034,-78.442000000039
545,1066426666.666992188000,-79.883000000031,-78.020000000019
546,1066428333.333007812000,-79.841000000015,-77.253999999957
547,1066430000.000000000000,-80.336000000010,-76.763000000035
548,1066431666.666992188000,-80.829000000027,-76.940999999992
549,1066433333.333007812000,-80.871999999974,-77.189999999944
550,1066435000.000000000000,-81.158000000054,-77.814000000013
551,1066436666.666992188000,-81.244999999995,-77.180999999982
552,1066438333.333007812000,-81.476000000024,-77.337999999989
553,1066440000.000000000000,-81.422999999952,-77.195999999996
554,1066441666.666992188000,-81.609999999986,-77.152000000002
555,1066443333.333007812000,-82.086000000010,-77.234000000055
556,1066445000.000000000000,-82.297000000020,-77.104999999981
557,1066446666.666992188000,-82.410000000033,-77.190999999992
558,1066448333.333007812000,-82.518999999971,-77.246000000043
559,1066450000.000000000000,-82.501000000047,-76.761000000057
560,1066451666.666992188000,-82.576000000001,-76.869999999995
561,1066453333.333007812000,-82.812000000034,-77.128000000026
562,1066455000.000000000000,-82.548999999999,-77.484999999986
563,1066456666.666992188000,-82.807999999961,-77.366000000038
564,1066458333.333007812000,-83.106999999960,-77.638999999966
565,1066460000.000000000000,-82.861000000034,-77.118000000017
566,1066461666.666992188000,-83.175000000047,-77.722999999998
567,1066463333.333007812000,-82.719000000041,-76.798999999999
568,1066465000.000000000000,-82.822999999975,-76.513999999966
569,1066466666.666992187000,-82.837000000058,-76.738000000012
570,1066468333.333007812000,-83.452000000048,-76.697000000044
571,1066470000.000000000000,-82.790000000037,-76.599000000046
572,1066471666.666992188000,-82.780000000028,-76.817000000039
573,1066473333.333007812000,-83.003999999957,-77.141999999993
574,1066475000.000000000000,-83.077999999980,-77.172000000020
575,1066476666.666992188000,-82.841999999946,-76.601000000024
576,1066478333.333007812000,-83.184000000008,-76.910999999964
577,1066480000.000000000000,-82.837000000058,-76.418999999994
578,1066481666.666992187000,-82.736999999965,-76.974000000046
579,1066483333.333007812000,-82.697000000044,-76.518999999971
580,1066485000.000000000000,-82.755000000005,-76.442000000039
581,1066486666.666992188000,-83.187000000034,-77.145999999950
582,1066488333.333007813000,-83.523999999976,-77.278000000049
583,1066490000.000000000000,-82.873999999953,-76.768999999971
584,1066491666.666992188000,-83.256999999983,-77.128999999957
585,1066493333.333007812000,-82.628000000026,-76.827999999980
586,1066495000.000000000000,-82.849000000046,-76.822999999975
587,1066496666.666992187000,-82.797000000020,-76.978000000003
588,1066498333.333007812000,-82.957999999984,-77.385000000009
589,1066500000.000000000000,-83.152000000002,-77.459000000032
590,1066501666.666992188000,-83.277000000002,-77.488999999943
591,1066503333.333007813000,-83.207000000053,-76.770999999950
592,1066505000.000000000000,-83.606000000029,-77.290999999968
593,1066506666.666992188000,-82.908999999985,-76.672999999952
594,1066508333.333007812000,-82.856999999960,-76.972999999998
595,1066510000.000000000000,-82.967999999993,-76.795000000042
596,1066511666.666992188000,-83.045000000042,-76.839999999967
597,1066513333.333007812000,-82.981000000029,-76.983000000007
598,1066515000.000000000000,-83.113000000012,-77.131999999983
599,1066516666.666992188000,-83.057000000030,-76.567999999970
600,1066518333.333007813000,-83.378000000026,-76.875000000000
601,1066520000.000000000000,-82.804000000004,-76.758000000031
