"BlockSat Plots"
"Start", 1.065520000000000E+0009
"Stop", 1.066520000000000E+0009
"Points",601
"Point","X-Axis (Hz)","Satellite - west of Telstar 11N (dBm)","Telstar 11N (dBm)"
55,1065610000.000000000000,-76.415999999968,-81.753999999957
56,1065611666.666992188000,-76.221000000020,-81.920000000042
57,1065613333.333007812000,-75.944999999949,-81.699999999953
58,1065615000.000000000000,-75.694000000018,-82.020000000019
59,1065616666.666992188000,-75.564999999944,-81.594999999972
60,1065618333.333007812000,-75.824999999953,-81.797000000020
61,1065620000.000000000000,-75.616999999969,-81.832000000053
62,1065621666.666992187000,-75.702000000048,-82.457999999984
63,1065623333.333007812000,-74.898000000045,-82.010000000009
64,1065625000.000000000000,-75.074999999953,-81.932999999961
65,1065626666.666992188000,-74.577000000048,-81.945999999996
66,1065628333.333007813000,-74.797999999952,-81.988000000012
67,1065630000.000000000000,-73.947999999975,-82.060000000056
68,1065631666.666992188000,-73.714999999967,-81.793999999994
69,1065633333.333007812000,-73.810000000056,-81.873000000021
70,1065635000.000000000000,-74.256999999983,-82.140999999945
71,1065636666.666992188000,-73.863999999943,-82.324999999953
72,1065638333.333007812000,-74.290999999968,-82.224000000046
73,1065640000.000000000000,-73.873999999953,-82.194000000018
74,1065641666.666992188000,-73.912000000011,-82.229999999981
75,1065643333.333007813000,-73.606000000029,-82.273999999976
76,1065645000.000000000000,-73.530000000028,-82.758999999962
77,1065646666.666992188000,-73.457000000053,-81.996000000043
78,1065648333.333007812000,-73.947000000044,-82.074999999953
79,1065650000.000000000000,-73.457000000053,-82.141999999993
80,1065651666.666992188000,-73.645999999950,-82.283000000054
81,1065653333.333007812000,-73.344000000041,-81.900000000023
82,1065655000.000000000000,-73.503000000026,-81.905999999959
83,1065656666.666992188000,-73.805000000051,-82.185000000056
84,1065658333.333007813000,-74.148000000045,-82.336000000010
85,1065660000.000000000000,-73.454999999958,-82.314999999944
86,1065661666.666992188000,-73.704999999958,-82.398999999976
87,1065663333.333007812000,-73.489999999991,-81.959999999963
88,1065665000.000000000000,-73.508999999962,-81.966999999946
89,1065666666.666992188000,-73.376000000047,-81.542999999947
90,1065668333.333007812000,-73.268999999971,-81.699000000022
91,1065670000.000000000000,-73.552000000025,-81.787999999942
92,1065671666.666992188000,-73.891999999993,-81.832999999984
93,1065673333.333007812000,-73.488000000012,-81.939999999944
94,1065675000.000000000000,-73.672999999952,-82.251999999979
95,1065676666.666992188000,-73.687999999966,-82.201000000001
96,1065678333.333007812000,-73.969999999972,-82.310000000056
97,1065680000.000000000000,-73.724999999977,-81.881999999983
98,1065681666.666992188000,-73.744999999995,-81.790999999968
99,1065683333.333007812000,-73.645999999950,-81.966000000015
100,1065685000.000000000000,-73.550999999978,-82.758000000031
101,1065686666.666992188000,-73.418999999994,-81.853000000003
102,1065688333.333007812000,-73.888999999966,-82.442000000039
103,1065690000.000000000000,-73.410999999964,-81.802000000025
104,1065691666.666992188000,-74.332000000053,-82.106000000029
105,1065693333.333007812000,-73.282000000007,-82.180000000051
106,1065695000.000000000000,-73.567999999970,-82.177999999956
107,1065696666.666992188000,-73.636999999988,-82.244999999995
108,1065698333.333007812000,-73.687999999966,-82.483000000007
109,1065700000.000000000000,-74.030999999959,-82.280999999959
110,1065701666.666992188000,-74.209999999963,-82.114999999991
111,1065703333.333007812000,-73.596000000020,-81.646999999997
112,1065705000.000000000000,-73.729999999981,-81.775000000023
113,1065706666.666992187000,-73.694000000018,-81.797999999952
114,1065708333.333007812000,-73.967999999993,-81.974999999977
115,1065710000.000000000000,-73.537999999942,-82.118000000017
116,1065711666.666992188000,-73.793999999994,-82.515999999945
117,1065713333.333007812000,-73.459000000032,-82.483000000007
118,1065715000.000000000000,-73.858000000007,-82.310000000056
119,1065716666.666992188000,-73.927000000025,-82.314000000013
120,1065718333.333007812000,-73.714999999967,-82.155000000028
121,1065720000.000000000000,-73.457999999984,-82.131000000052
122,1065721666.666992187000,-73.628000000026,-82.243999999948
123,1065723333.333007812000,-73.746000000043,-82.385000000009
124,1065725000.000000000000,-73.736000000034,-82.687000000034
125,1065726666.666992188000,-73.802000000025,-82.013999999966
126,1065728333.333007813000,-74.192999999970,-81.964999999967
127,1065730000.000000000000,-73.792000000016,-82.109999999986
128,1065731666.666992188000,-74.636999999988,-82.158000000054
129,1065733333.333007812000,-73.780999999959,-82.113999999943
130,1065735000.000000000000,-73.787999999942,-82.150000000023
131,1065736666.666992187000,-73.510000000009,-81.981999999960
132,1065738333.333007812000,-73.662000000011,-82.530000000028
133,1065740000.000000000000,-73.427999999956,-82.084999999963
134,1065741666.666992188000,-73.447000000044,-82.535000000033
135,1065743333.333007813000,-73.255000000005,-81.483000000007
136,1065745000.000000000000,-73.197999999975,-81.547999999952
137,1065746666.666992188000,-73.471000000020,-82.045000000042
138,1065748333.333007812000,-74.015999999945,-82.140999999945
139,1065750000.000000000000,-73.241999999969,-82.202999999980
140,1065751666.666992188000,-73.393999999971,-82.079000000027
141,1065753333.333007812000,-73.444999999949,-82.202000000048
142,1065755000.000000000000,-73.758999999962,-82.543999999994
143,1065756666.666992188000,-73.805999999982,-82.069999999949
144,1065758333.333007813000,-73.596000000020,-82.457999999984
145,1065760000.000000000000,-73.513999999966,-82.189000000013
146,1065761666.666992188000,-73.511999999988,-82.537000000011
147,1065763333.333007812000,-73.643000000040,-81.962999999989
148,1065765000.000000000000,-73.988000000012,-81.807999999961
149,1065766666.666992188000,-73.949999999953,-81.663999999990
150,1065768333.333007812000,-73.922000000020,-81.793999999994
151,1065770000.000000000000,-73.548999999999,-81.868000000017
152,1065771666.666992188000,-73.636999999988,-81.765000000014
153,1065773333.333007812000,-73.353000000003,-82.008999999962
154,1065775000.000000000000,-73.623999999953,-82.143999999971
155,1065776666.666992188000,-73.655000000028,-81.886000000057
156,1065778333.333007812000,-73.540999999968,-82.381999999983
157,1065780000.000000000000,-73.525999999954,-81.903000000049
158,1065781666.666992188000,-73.694999999949,-82.111999999965
