"SoftPlot +Plus+ Measurement Management Software"
"Start", 1.062020000000000E+0009
"Stop", 1.070020000000000E+0009
"Points",601
"Point","X-Axis (Hz)","Satellite - east of Telstar 11N (dBm)","Telstar 11N (dBm)"
74,1062993333.333007812000,-64.898999999976,-65.466000000015
75,1063006666.666992188000,-64.905999999959,-64.998000000021
76,1063020000.000000000000,-64.935999999987,-64.638999999966
77,1063033333.333007813000,-64.922999999952,-64.354000000050
78,1063046666.666992188000,-64.849000000046,-63.929000000004
79,1063060000.000000000000,-64.854999999981,-63.739000000001
80,1063073333.333007812000,-64.775999999954,-63.575000000012
81,1063086666.666992188000,-64.714999999967,-63.326999999990
82,1063100000.000000000000,-64.663999999990,-63.238000000012
83,1063113333.333007812000,-64.724000000046,-63.173999999999
84,1063126666.666992187000,-64.738999999943,-63.018999999971
85,1063140000.000000000000,-64.685000000056,-62.923000000010
86,1063153333.333007812000,-64.751999999979,-62.952999999980
87,1063166666.666992188000,-64.883999999962,-62.995999999985
88,1063180000.000000000000,-64.856999999960,-62.966000000015
89,1063193333.333007812000,-64.851000000024,-63.005000000005
90,1063206666.666992188000,-64.866999999969,-62.859999999986
91,1063220000.000000000000,-65.076000000001,-62.863000000012
92,1063233333.333007812000,-65.108000000007,-62.826000000001
93,1063246666.666992188000,-65.108000000007,-62.836000000010
94,1063260000.000000000000,-65.047000000020,-62.800999999978
95,1063273333.333007812000,-65.015999999945,-62.732000000018
96,1063286666.666992188000,-64.964000000036,-62.809000000008
97,1063300000.000000000000,-65.047999999952,-62.729999999981
98,1063313333.333007812000,-64.964000000036,-62.721000000020
99,1063326666.666992188000,-64.957000000053,-62.820000000007
100,1063340000.000000000000,-65.008999999962,-62.818000000028
101,1063353333.333007812000,-64.972999999998,-62.804999999993
102,1063366666.666992188000,-64.964000000036,-62.707999999984
103,1063380000.000000000000,-64.952999999980,-62.753000000026
104,1063393333.333007813000,-65.011999999988,-62.803000000014
105,1063406666.666992188000,-65.121000000043,-62.893999999971
106,1063420000.000000000000,-65.087999999989,-63.696999999986
107,1063433333.333007812000,-65.091000000015,-63.157999999996
108,1063446666.666992188000,-65.152000000002,-63.337999999989
109,1063460000.000000000000,-65.158000000054,-63.287000000011
110,1063473333.333007812000,-65.172000000020,-63.880999999994
111,1063486666.666992188000,-65.135000000009,-63.097000000009
112,1063500000.000000000000,-65.160999999964,-63.120999999985
113,1063513333.333007812000,-65.310999999987,-63.206000000006
114,1063526666.666992188000,-65.435000000056,-63.337000000000
115,1063540000.000000000000,-65.646999999997,-63.168000000005
116,1063553333.333007812000,-65.859000000055,-63.194000000018
117,1063566666.666992188000,-66.141999999993,-63.072999999975
118,1063580000.000000000000,-66.462000000058,-63.085000000021
119,1063593333.333007813000,-66.910000000033,-63.201999999990
120,1063606666.666992188000,-67.476999999955,-63.003000000026
121,1063620000.000000000000,-68.138000000035,-63.042000000016
122,1063633333.333007812000,-69.018999999971,-63.059000000008
123,1063646666.666992188000,-69.839000000036,-63.325000000012
124,1063660000.000000000000,-70.657000000007,-63.518999999971
125,1063673333.333007812000,-71.351000000024,-63.291000000027
126,1063686666.666992187000,-72.055999999982,-63.485999999975
127,1063700000.000000000000,-72.616999999969,-63.356000000029
128,1063713333.333007812000,-72.949999999953,-63.284999999974
129,1063726666.666992188000,-73.207999999984,-63.303000000014
130,1063740000.000000000000,-73.011999999988,-63.380000000005
131,1063753333.333007812000,-72.805999999982,-63.586000000010
132,1063766666.666992188000,-72.478000000003,-63.954000000027
133,1063780000.000000000000,-72.341000000015,-63.984999999986
134,1063793333.333007813000,-72.351999999955,-64.694999999949
135,1063806666.666992188000,-72.214000000036,-64.626999999979
136,1063820000.000000000000,-72.290000000037,-65.094999999972
137,1063833333.333007812000,-71.582000000053,-65.501000000047
138,1063846666.666992188000,-71.631000000052,-65.564000000013
139,1063860000.000000000000,-71.569999999949,-66.283000000054
140,1063873333.333007812000,-71.496999999974,-66.552999999956
141,1063886666.666992187000,-71.491000000038,-67.429000000004
142,1063900000.000000000000,-71.778000000049,-67.947999999975
143,1063913333.333007812000,-72.096999999951,-68.979999999981
144,1063926666.666992188000,-72.030000000028,-69.508000000031
145,1063940000.000000000000,-71.866000000038,-70.059000000008
146,1063953333.333007812000,-71.849000000046,-70.743999999948
147,1063966666.666992188000,-71.707000000053,-71.278000000049
148,1063980000.000000000000,-71.606999999960,-72.229999999981
149,1063993333.333007812000,-71.635000000009,-72.376000000047
150,1064006666.666992188000,-71.724000000046,-72.920999999973
151,1064020000.000000000000,-72.010000000009,-72.918999999994
152,1064033333.333007812000,-71.893999999971,-73.278999999980
153,1064046666.666992188000,-71.687000000034,-73.104999999981
154,1064060000.000000000000,-71.562999999966,-73.594999999972
155,1064073333.333007812000,-71.591000000015,-72.873000000021
156,1064086666.666992187000,-71.653999999980,-72.802000000025
157,1064100000.000000000000,-71.579999999958,-71.961000000010
158,1064113333.333007812000,-71.582000000053,-71.003999999957
159,1064126666.666992188000,-71.739999999991,-69.035000000033
160,1064140000.000000000000,-71.687000000034,-67.250000000000
161,1064153333.333007812000,-71.655999999959,-65.528000000049
162,1064166666.666992188000,-71.481000000029,-63.819000000018
163,1064180000.000000000000,-71.469000000041,-63.129000000015
164,1064193333.333007812000,-71.579999999958,-61.945999999996
165,1064206666.666992188000,-71.702000000048,-61.794999999984
166,1064220000.000000000000,-71.648000000045,-60.735999999975
167,1064233333.333007812000,-71.795999999973,-60.619999999995
168,1064246666.666992188000,-71.935999999987,-60.373000000021
169,1064260000.000000000000,-71.917000000016,-60.251999999979
170,1064273333.333007812000,-71.849000000046,-60.266999999993
171,1064286666.666992188000,-71.543999999994,-60.762999999977
172,1064300000.000000000000,-71.418999999994,-60.680999999982
173,1064313333.333007812000,-71.481000000029,-61.240999999980
174,1064326666.666992188000,-71.567999999970,-61.592999999993
175,1064340000.000000000000,-71.476999999955,-62.234999999986
176,1064353333.333007813000,-71.773999999976,-63.047000000020
177,1064366666.666992188000,-71.591000000015,-63.760999999999
178,1064380000.000000000000,-71.383999999962,-63.672000000020
179,1064393333.333007812000,-71.327999999980,-63.507999999973
180,1064406666.666992188000,-71.425999999978,-63.516000000003
